iter	Passed	Remaining
0	1	145
1	2	126
2	5	163
3	6	146
4	8	162
5	11	180
6	12	162
7	16	189
8	17	176
9	18	165
10	22	184
11	24	178
12	25	169
13	26	160
14	27	153
15	34	182
16	36	177
17	38	176
18	39	169
19	40	161
20	41	154
21	41	148
22	42	142
23	43	136
24	44	134
25	46	132
26	47	127
27	49	126
28	50	122
29	50	118
30	51	114
31	52	110
32	52	107
33	53	104
34	54	100
35	55	97
36	55	94
37	56	92
38	57	89
39	58	87
40	59	85
41	59	82
42	60	80
43	61	78
44	62	75
45	62	73
46	63	71
47	63	69
48	64	67
49	65	65
50	65	63
51	66	61
52	66	59
53	67	57
54	68	55
55	68	53
56	69	52
57	70	50
58	70	49
59	71	47
60	72	46
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	76	37
67	77	36
68	78	35
69	78	33
70	79	32
71	80	31
72	80	29
73	81	28
74	82	27
75	82	26
76	83	24
77	84	23
78	84	22
79	85	21
80	85	20
81	86	18
82	87	17
83	87	16
84	88	15
85	89	14
86	90	13
87	90	12
88	91	11
89	92	10
90	93	9
91	93	8
92	94	7
93	95	6
94	95	5
95	96	4
96	97	3
97	97	1
98	98	0
99	99	0
