iter	Passed	Remaining
0	0	755
1	1	687
2	2	667
3	2	653
4	3	658
5	3	661
6	4	690
7	5	679
8	6	676
9	6	669
10	7	664
11	8	659
12	8	658
13	9	661
14	10	660
15	10	656
16	11	652
17	12	656
18	12	653
19	13	649
20	13	645
21	14	642
22	15	642
23	15	642
24	16	640
25	17	637
26	17	633
27	18	631
28	18	630
29	19	627
30	20	627
31	20	627
32	21	625
33	21	624
34	22	623
35	23	622
36	23	623
37	24	622
38	25	621
39	25	621
40	26	619
41	27	619
42	27	618
43	28	616
44	28	614
45	29	612
46	30	612
47	30	610
48	31	609
49	31	607
50	32	606
51	33	605
52	33	604
53	34	603
54	35	606
55	35	605
56	36	603
57	37	602
58	37	601
59	38	601
60	38	600
61	39	599
62	40	598
63	40	597
64	41	597
65	42	596
66	42	595
67	43	595
68	44	594
69	44	592
70	45	591
71	45	590
72	46	589
73	47	588
74	47	587
75	48	588
76	48	587
77	49	586
78	50	585
79	50	584
80	51	583
81	52	582
82	52	578
83	52	577
84	53	577
85	54	577
86	54	576
87	55	575
88	56	574
89	56	573
90	57	572
91	57	571
92	58	570
93	60	583
94	61	582
95	61	582
96	62	581
97	64	589
98	64	588
99	65	587
100	65	586
101	68	603
102	70	611
103	70	610
104	71	610
105	72	609
106	72	608
107	73	607
108	74	606
109	74	605
110	75	605
111	76	604
112	76	602
113	77	601
114	78	600
115	78	599
116	79	597
117	79	596
118	80	595
119	81	594
120	81	594
121	82	592
122	83	591
123	83	592
124	84	592
125	85	591
126	85	589
127	86	588
128	87	587
129	87	586
130	88	585
131	88	584
132	89	583
133	90	583
134	90	582
135	91	581
136	92	579
137	92	578
138	93	577
139	93	577
140	94	576
141	95	574
142	95	573
143	96	572
144	96	571
145	97	570
146	98	569
147	99	571
148	100	571
149	100	570
150	101	569
151	101	568
152	102	567
153	103	566
154	103	565
155	104	564
156	104	563
157	105	562
158	106	561
159	106	560
160	107	558
161	107	557
162	108	556
163	108	555
164	109	554
165	110	553
166	110	553
167	111	552
168	112	551
169	112	551
170	113	551
171	114	550
172	114	549
173	115	548
174	116	548
175	116	547
176	117	546
177	118	545
178	118	544
179	119	543
180	119	542
181	120	542
182	121	541
183	121	540
184	122	539
185	123	539
186	123	538
187	124	537
188	125	537
189	125	537
190	126	536
191	127	535
192	127	535
193	128	534
194	129	534
195	130	533
196	130	532
197	131	531
198	131	530
199	132	529
200	133	528
201	133	527
202	134	526
203	134	526
204	135	525
205	136	524
206	136	523
207	137	522
208	137	521
209	138	521
210	139	520
211	140	520
212	140	519
213	141	518
214	141	518
215	142	517
216	143	516
217	143	516
218	144	515
219	145	514
220	145	514
221	146	513
222	147	512
223	147	511
224	148	511
225	149	511
226	149	510
227	150	509
228	151	508
229	151	507
230	152	507
231	152	506
232	153	505
233	154	505
234	154	504
235	155	503
236	156	502
237	156	501
238	157	501
239	157	500
240	158	499
241	159	499
242	160	498
243	160	497
244	161	496
245	161	495
246	162	495
247	162	494
248	163	493
249	164	492
250	164	491
251	165	490
252	165	490
253	166	489
254	167	488
255	167	487
256	168	487
257	169	486
258	169	486
259	170	485
260	171	484
261	171	483
262	172	482
263	172	482
264	173	481
265	174	480
266	174	480
267	175	479
268	176	479
269	176	478
270	177	477
271	178	476
272	178	475
273	179	475
274	179	474
275	180	473
276	181	472
277	181	472
278	182	471
279	183	470
280	183	470
281	184	469
282	184	468
283	185	467
284	186	467
285	186	466
286	187	465
287	188	464
288	188	464
289	189	463
290	190	463
291	190	462
292	191	461
293	191	460
294	192	460
295	193	459
296	193	458
297	194	457
298	195	457
299	195	456
300	196	455
301	196	455
302	197	454
303	198	453
304	198	452
305	199	452
306	199	451
307	200	450
308	201	449
309	201	448
310	202	448
311	202	447
312	203	446
313	204	446
314	204	445
315	205	444
316	206	444
317	206	443
318	207	442
319	207	441
320	208	441
321	209	440
322	209	439
323	210	439
324	211	438
325	211	437
326	212	436
327	212	436
328	213	435
329	214	434
330	214	434
331	215	433
332	215	432
333	216	431
334	217	430
335	217	430
336	218	429
337	219	429
338	219	428
339	220	427
340	220	426
341	221	426
342	222	425
343	222	424
344	223	423
345	223	422
346	224	422
347	224	421
348	225	420
349	226	419
350	226	419
351	227	418
352	227	417
353	228	416
354	229	416
355	229	415
356	230	414
357	230	414
358	231	413
359	232	413
360	232	412
361	233	411
362	234	411
363	234	410
364	235	409
365	236	408
366	236	408
367	237	407
368	237	406
369	238	406
370	239	405
371	239	404
372	240	404
373	241	403
374	241	402
375	242	402
376	242	401
377	243	400
378	243	399
379	244	399
380	245	398
381	245	397
382	246	397
383	247	396
384	247	395
385	248	395
386	248	394
387	249	393
388	250	392
389	250	392
390	251	391
391	252	390
392	252	390
393	253	389
394	253	388
395	254	387
396	254	387
397	255	386
398	256	385
399	256	385
400	257	384
401	257	383
402	258	382
403	259	382
404	259	381
405	260	380
406	260	380
407	261	379
408	262	378
409	262	378
410	263	377
411	264	376
412	264	376
413	265	375
414	265	374
415	266	373
416	266	373
417	267	372
418	268	371
419	268	371
420	269	370
421	269	369
422	270	368
423	271	368
424	271	367
425	272	366
426	272	366
427	273	365
428	274	364
429	274	364
430	275	363
431	275	362
432	276	362
433	278	362
434	279	362
435	279	361
436	280	360
437	280	360
438	281	359
439	281	358
440	282	358
441	283	357
442	283	356
443	284	356
444	284	355
445	285	355
446	286	354
447	286	353
448	287	352
449	288	352
450	288	351
451	289	350
452	290	350
453	290	349
454	291	348
455	291	348
456	292	347
457	293	347
458	293	346
459	294	345
460	295	345
461	295	344
462	296	343
463	296	343
464	297	342
465	298	341
466	298	340
467	299	340
468	299	339
469	300	338
470	301	338
471	301	337
472	302	336
473	302	336
474	303	335
475	304	334
476	304	334
477	305	333
478	306	332
479	306	332
480	307	331
481	307	330
482	308	330
483	308	329
484	309	328
485	310	328
486	310	327
487	311	326
488	312	326
489	312	325
490	313	324
491	313	324
492	314	323
493	315	322
494	315	322
495	316	321
496	317	320
497	317	320
498	318	319
499	318	318
500	319	318
501	320	317
502	320	316
503	321	316
504	321	315
505	322	314
506	323	314
507	323	313
508	324	313
509	325	312
510	326	311
511	326	311
512	327	310
513	327	310
514	328	309
515	329	309
516	330	308
517	330	307
518	331	307
519	332	306
520	332	305
521	333	305
522	333	304
523	334	303
524	334	303
525	335	302
526	336	301
527	336	301
528	337	300
529	337	299
530	338	299
531	339	298
532	339	297
533	340	297
534	341	296
535	341	295
536	342	295
537	343	294
538	343	293
539	344	293
540	344	292
541	345	291
542	346	291
543	346	290
544	347	289
545	347	289
546	348	288
547	349	288
548	349	287
549	350	286
550	350	286
551	351	285
552	352	284
553	352	284
554	353	283
555	354	282
556	354	282
557	355	281
558	356	280
559	356	280
560	357	279
561	357	278
562	358	278
563	359	277
564	359	276
565	360	276
566	360	275
567	361	274
568	361	274
569	362	273
570	363	272
571	363	272
572	364	271
573	365	270
574	365	270
575	366	269
576	367	269
577	367	268
578	368	267
579	368	267
580	369	266
581	370	266
582	370	265
583	371	264
584	372	264
585	372	263
586	373	262
587	374	262
588	374	261
589	375	260
590	375	260
591	376	259
592	377	258
593	377	258
594	378	257
595	378	256
596	379	256
597	380	255
598	380	255
599	381	254
600	382	253
601	382	253
602	383	252
603	384	251
604	384	251
605	385	250
606	386	249
607	386	249
608	387	248
609	387	248
610	388	247
611	389	246
612	389	246
613	390	245
614	391	244
615	391	244
616	392	243
617	393	243
618	393	242
619	394	241
620	395	241
621	395	240
622	396	240
623	397	239
624	397	238
625	398	238
626	399	237
627	399	236
628	400	236
629	401	235
630	401	234
631	402	234
632	402	233
633	403	232
634	404	232
635	404	231
636	405	231
637	406	230
638	406	229
639	407	229
640	407	228
641	408	227
642	409	227
643	409	226
644	410	225
645	411	225
646	411	224
647	412	223
648	412	223
649	413	222
650	414	221
651	414	221
652	415	220
653	415	219
654	416	219
655	416	218
656	417	217
657	418	217
658	418	216
659	419	216
660	419	215
661	420	214
662	421	214
663	421	213
664	422	212
665	422	212
666	423	211
667	424	210
668	424	210
669	425	209
670	425	208
671	426	208
672	427	207
673	427	206
674	428	206
675	429	205
676	430	205
677	430	204
678	431	203
679	431	203
680	432	202
681	433	201
682	433	201
683	434	200
684	434	199
685	435	199
686	436	198
687	436	197
688	437	197
689	437	196
690	438	196
691	439	195
692	439	194
693	440	194
694	440	193
695	441	192
696	442	192
697	442	191
698	443	190
699	443	190
700	444	189
701	445	188
702	445	188
703	446	187
704	446	187
705	447	186
706	448	185
707	448	185
708	449	184
709	449	183
710	450	183
711	451	182
712	451	181
713	452	181
714	452	180
715	453	179
716	454	179
717	454	178
718	455	177
719	455	177
720	456	176
721	457	175
722	457	175
723	458	174
724	458	174
725	459	173
726	460	172
727	460	172
728	461	171
729	462	170
730	462	170
731	463	169
732	463	168
733	464	168
734	465	167
735	465	167
736	466	166
737	466	165
738	467	165
739	468	164
740	468	163
741	469	163
742	469	162
743	470	161
744	471	161
745	471	160
746	472	159
747	472	159
748	473	158
749	474	158
750	474	157
751	475	156
752	476	156
753	476	155
754	477	154
755	477	154
756	478	153
757	479	152
758	479	152
759	480	151
760	480	151
761	481	150
762	482	149
763	482	149
764	483	148
765	484	147
766	484	147
767	485	146
768	485	145
769	486	145
770	487	144
771	487	144
772	488	143
773	489	142
774	489	142
775	490	141
776	490	140
777	491	140
778	492	139
779	492	138
780	493	138
781	493	137
782	494	137
783	495	136
784	495	135
785	496	135
786	496	134
787	497	133
788	498	133
789	498	132
790	499	131
791	499	131
792	500	130
793	501	130
794	501	129
795	502	128
796	503	128
797	503	127
798	504	126
799	505	126
800	505	125
801	506	125
802	506	124
803	507	123
804	508	123
805	509	122
806	509	121
807	510	121
808	511	120
809	511	120
810	512	119
811	512	118
812	513	118
813	514	117
814	514	116
815	515	116
816	516	115
817	516	114
818	517	114
819	518	113
820	518	113
821	519	112
822	520	111
823	520	111
824	521	110
825	522	110
826	522	109
827	523	108
828	524	108
829	524	107
830	525	106
831	526	106
832	526	105
833	527	104
834	527	104
835	528	103
836	529	103
837	529	102
838	530	101
839	531	101
840	531	100
841	532	99
842	532	99
843	533	98
844	534	97
845	534	97
846	535	96
847	536	96
848	536	95
849	537	94
850	537	94
851	538	93
852	539	92
853	539	92
854	540	91
855	541	91
856	541	90
857	542	89
858	542	89
859	543	88
860	544	87
861	544	87
862	545	86
863	546	85
864	546	85
865	547	84
866	547	84
867	548	83
868	549	82
869	549	82
870	550	81
871	551	80
872	551	80
873	552	79
874	553	79
875	553	78
876	554	77
877	554	77
878	555	76
879	556	75
880	556	75
881	557	74
882	558	73
883	558	73
884	559	72
885	560	72
886	560	71
887	561	70
888	561	70
889	562	69
890	563	68
891	563	68
892	564	67
893	565	67
894	565	66
895	566	65
896	566	65
897	567	64
898	568	63
899	568	63
900	569	62
901	570	61
902	570	61
903	571	60
904	571	60
905	572	59
906	573	58
907	573	58
908	574	57
909	575	56
910	575	56
911	576	55
912	576	54
913	577	54
914	578	53
915	578	53
916	579	52
917	580	51
918	580	51
919	581	50
920	582	49
921	582	49
922	583	48
923	583	48
924	584	47
925	585	46
926	585	46
927	586	45
928	586	44
929	587	44
930	588	43
931	588	42
932	589	42
933	590	41
934	590	41
935	591	40
936	591	39
937	592	39
938	593	38
939	593	37
940	594	37
941	595	36
942	595	36
943	596	35
944	597	34
945	597	34
946	598	33
947	599	32
948	599	32
949	600	31
950	600	30
951	601	30
952	602	29
953	602	29
954	603	28
955	603	27
956	604	27
957	605	26
958	605	25
959	606	25
960	607	24
961	607	24
962	608	23
963	609	22
964	609	22
965	610	21
966	610	20
967	611	20
968	612	19
969	612	18
970	613	18
971	614	17
972	614	17
973	615	16
974	616	15
975	616	15
976	617	14
977	617	13
978	618	13
979	619	12
980	619	12
981	620	11
982	621	10
983	621	10
984	622	9
985	622	8
986	623	8
987	624	7
988	624	6
989	625	6
990	625	5
991	626	5
992	627	4
993	627	3
994	628	3
995	629	2
996	629	1
997	630	1
998	630	0
999	631	0
